 NPOZ,NLIM,MEAN1,MEAN2,P,B,M1DM2,NLIM1,B1,N100MB,PN,PP,BPN,BPP,UNK1,UNK2
   36 ,  1  ,     20.0000   ,       9.00,      177300,   9.85,    2.22,   1,   9.85,  90.15,      0,   1481040,   0.00,  90.15,     10000,      8228
   36 ,  1  ,     30.0000   ,       9.00,      219240,  12.18,    3.33,   1,  12.18,  87.82,      0,   1437120,   0.00,  87.82,     10000,      7984
   36 ,  1  ,     40.0000   ,       9.00,      257580,  14.31,    4.44,   1,  14.31,  85.69,      0,   1399140,   0.00,  85.69,     10000,      7773
   36 ,  1  ,     50.0000   ,       9.00,      289800,  16.10,    5.56,   1,  16.10,  83.90,      0,   1373040,   0.00,  83.90,     10000,      7628
   36 ,  1  ,     60.0000   ,       9.00,      335340,  18.63,    6.67,   1,  18.63,  81.37,      0,   1327680,   0.00,  81.37,     10000,      7376
   36 ,  1  ,     70.0000   ,       9.00,      344160,  19.12,    7.78,   1,  19.12,  80.88,      0,   1326960,   0.00,  80.88,     10000,      7372
   36 ,  1  ,     80.0000   ,       9.00,      380700,  21.15,    8.89,   1,  21.15,  78.85,      0,   1293300,   0.00,  78.85,     10000,      7185
   36 ,  1  ,     90.0000   ,       9.00,      406800,  22.60,   10.00,   1,  22.60,  77.40,      0,   1270260,   0.00,  77.40,     10000,      7057
   36 ,  1  ,    100.0000   ,       9.00,      429480,  23.86,   11.11,   1,  23.86,  76.14,      0,   1249740,   0.00,  76.14,     10000,      6943
   36 ,  1  ,     10.0000   ,      11.00,      129780,   7.21,    0.91,   1,   7.21,  92.79,      0,   1543500,   0.00,  92.79,     10000,      8575
   36 ,  1  ,     20.0000   ,      11.00,      150480,   8.36,    1.82,   1,   8.36,  91.64,      0,   1527840,   0.00,  91.64,     10000,      8488
   36 ,  1  ,     30.0000   ,      11.00,      188100,  10.45,    2.73,   1,  10.45,  89.55,      0,   1488060,   0.00,  89.55,     10000,      8267
   36 ,  1  ,     40.0000   ,      11.00,      221220,  12.29,    3.64,   1,  12.29,  87.71,      0,   1456200,   0.00,  87.71,     10000,      8090
   36 ,  1  ,     50.0000   ,      11.00,      248580,  13.81,    4.55,   1,  13.81,  86.19,      0,   1431180,   0.00,  86.19,     10000,      7951
   36 ,  1  ,     60.0000   ,      11.00,      285120,  15.84,    5.45,   1,  15.84,  84.16,      0,   1398060,   0.00,  84.16,     10000,      7767
   36 ,  1  ,     70.0000   ,      11.00,      295560,  16.42,    6.36,   1,  16.42,  83.58,      0,   1393560,   0.00,  83.58,     10000,      7742
   36 ,  1  ,     80.0000   ,      11.00,      323460,  17.97,    7.27,   1,  17.97,  82.03,      0,   1367280,   0.00,  82.03,     10000,      7596
   36 ,  1  ,     90.0000   ,      11.00,      351360,  19.52,    8.18,   1,  19.52,  80.48,      0,   1342620,   0.00,  80.48,     10000,      7459
   36 ,  1  ,    100.0000   ,      11.00,      376200,  20.90,    9.09,   1,  20.90,  79.10,      0,   1318140,   0.00,  79.10,     10000,      7323
   36 ,  1  ,     10.0000   ,      13.00,      111960,   6.22,    0.77,   1,   6.22,  93.78,      0,   1577520,   0.00,  93.78,     10000,      8764
   36 ,  1  ,     20.0000   ,      13.00,      127080,   7.06,    1.54,   1,   7.06,  92.94,      0,   1569420,   0.00,  92.94,     10000,      8719
   36 ,  1  ,     30.0000   ,      13.00,      162180,   9.01,    2.31,   1,   9.01,  90.99,      0,   1527300,   0.00,  90.99,     10000,      8485
